Image Filename,URL,Source URL,Download Date And Time
06-05-2023T11-46-27.938000.png,http://www.newsimg.cn/french/amerique_du_nord/20170505/img/rt-logo.png,http://www.xinhuanet.com/english/2020-06/14/c_139138222.htm,06-05-2023 11:46:27
06-05-2023T11-46-25.022636.jpg,http://www.xinhuanet.com/english/2020-06/14/139138222_15921295522651n.jpg,http://www.xinhuanet.com/english/2020-06/14/c_139138222.htm,06-05-2023 11:46:25
06-05-2023T11-46-23.056122.jpg,http://www.xinhuanet.com/english/2020-06/14/139138222_15921295522641n.jpg,http://www.xinhuanet.com/english/2020-06/14/c_139138222.htm,06-05-2023 11:46:23
06-05-2023T11-46-21.124475.jpg,https://images.english.elpais.com/resizer/BdbgAaaBxB8Af97aCpxqqmjab0g=/414x311/cloudfront-eu-central-1.images.arcpublishing.com/prisa/GJQFF4LQD3SPN3F6YL45YGLMUQ.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:21
06-05-2023T11-46-20.959949.jpg,https://images.english.elpais.com/resizer/XAWquXH_dSzBO3AD4BWozOQCsiQ=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/L6GCKUPVMNDDBCJ7MBFO5UQGLQ.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:20
06-05-2023T11-46-20.776507.jpg,https://images.english.elpais.com/resizer/kCZeSS8BQuggDmEZy1DMwB-7sgI=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/6OJ4NGNZQ2U7O4SUASMONZJDTA.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:20
06-05-2023T11-46-20.609533.jpg,https://images.english.elpais.com/resizer/KJ7fBeOAYXVgy0XufyFoSuwMT8Q=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/57SLMUWVEWOTNNFN4D5FFWK2ZQ.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:20
06-05-2023T11-46-20.445009.jpg,https://images.english.elpais.com/resizer/xtx4uBRWz17n7oJycljxohvEfRs=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/MJIQATXGRRC2VNCS52VDS7SID4.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:20
06-05-2023T11-46-20.268515.jpg,https://images.english.elpais.com/resizer/yQMMEaRjma0rd8HW3C75Rhz3ycQ=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/LS7ZETRVQSZ3JSE5IOFTIXOC2E.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:20
06-05-2023T11-46-20.107505.jpg,https://images.english.elpais.com/resizer/mIf45CKH0QbA25h38vaBv7NTUlA=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/YW5MZQAAW3O625M5CY67COXXTE.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:20
06-05-2023T11-46-19.948977.jpg,https://images.english.elpais.com/resizer/xeHq6y2WNMlkiuCjwkNLjOrq2g4=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/5GBKHGST6RW27BP4U3HJKVPYPM.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:19
06-05-2023T11-46-19.773488.jpg,https://images.english.elpais.com/resizer/nAg7hqCBZBUDDpzTdm78gOUmIJk=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/C4C4YRUWA76BJULVIRN75IDOXE.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:19
06-05-2023T11-46-19.575083.jpg,https://images.english.elpais.com/resizer/Gyrkntz884TjCbhmDEKvI8Y1E8I=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/CLUCXO4JIIAA632XEKFXVGHGNU.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:19
06-05-2023T11-46-19.358743.jpg,https://images.english.elpais.com/resizer/ByFimGq9VeDjT6yLaG2nHW30MGA=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/L4O47RWJTVC64SDUYLPMF4Q4RM.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:19
06-05-2023T11-46-19.123465.jpg,https://images.english.elpais.com/resizer/0WSngI7oxFQMKIrbt-RV0J3iNJ8=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/EWC7DLDHHTDQYN34JEQLNX5MJY.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:19
06-05-2023T11-46-18.877712.jpg,https://images.english.elpais.com/resizer/p-ofbz2OreLXcim3kw6_FxTUHcw=/414x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/YP2KSQ3VUMWOYAJINMVONQMIRQ.jpg,https://english.elpais.com/international/2023-02-09/gallery-aerial-images-reveal-scale-of-earthquake-devastation-in-turkey-and-syria.html,06-05-2023 11:46:18
